도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,소재지도로명주소,도서관전화번호
송정 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 송정로 45,02-2600-7932
책향기 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,0:00,0:00,서울특별시 강서구 강서로47길 54,02-2600-7874
도리샘 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 허준로 202,02-2600-7856
구암마을 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 허준로 93,02-2600-7813
도란도란쉼터 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,17:30,0:00,0:00,서울특별시 강서구 허준로30,02-2600-7778
내발산 작은도서관,서울특별시,강서구,작은도서관,일요일,9:30,18:00,0:00,0:00,서울특별시 강서구 강서로52길89,02-2600-7756
배다리 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,0:00,0:00,서울특별시 강서구 곰달래로25길 45,02-2600-7701
역마을 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 화곡로312,02-2600-7660
볏고을 작은도서관,서울특별시,강서구,작은도서관,일요일,10:00,18:00,0:00,0:00,서울특별시 강서구 곰달래로57가길26,02-2600-2275
책마루 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 강서로33가길 17,02-2600-7577
옹달샘 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 곰달래로37길 13,02-2600-7545
꿈터 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 곰달래로 79,02-2600-7515
초록향기 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 초록마을로 5길 29,02-2600-7474
큰마음 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 화곡로63길 96,02-2600-7448
등마루골 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 등촌로143,02-2600-7381
생각열매 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 공항대로53가길 55,02-2600-7356
아리향기 작은도서관,서울특별시,강서구,작은도서관,일요일,9:00,18:00,0:00,0:00,서울특별시 강서구 양천로 67가길 63,02-2600-7326
가양도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 양천로 61길 101,02-3665-8797
꿈꾸는어린이도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 공항대로 615,02-3663-4025
우장산숲속도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 우현로 34,02-2696-6689
길꽃어린이도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 금낭화로24길 5,02-2663-4764
푸른들청소년도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 강서로45다길 71,02-2691-1630
강서영어도서관,서울특별시,강서구,공공도서관,월요일,9:00,18:00,0:00,0:00,서울특별시 강서구 곰달래로57가길 26,02-2061-2270
곰달래도서관,서울특별시,강서구,공공도서관,월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 강서로5길 50,02-2065-3786
등빛도서관,서울특별시,강서구,공공도서관,매월마지막주 월요일,9:00,22:00,0:00,0:00,서울특별시 강서구 강서로62길 48,02-3664-6990
중구구립도서관,서울특별시,서울시 중구,공공도서관,365일 연중무휴,9:00,18:00,9:00,18:00,서울특별시 중구 동호로 14길 18,02)2280-8470
남산타운문화체육센터 어린이도서관,서울특별시,중구,어린이도서관,매주 월요일 공휴일 ※ 공휴일은 휴관으로 공휴일운영시각은 00:00으로 표기,9:00,22:00,0:00,0:00,서울특별시 중구 다산로 32,02-2280-8486
손기정문화체육센터 정보도서관,서울특별시,중구,공공도서관,매주 월 법정공휴일 ※ 공휴일은 휴관으로 공휴일운영시각은 00:00으로 표기,9:00,18:00,0:00,0:00,서울특별시 중구 손기정로101,02-2280-8455
중구구립신당도서관,서울특별시,중구,공공도서관,연중무휴,8:00,23:00,9:00,18:00,서울특별시 중구 다산로38길 66-35,02-2280-8490
세곡도서관,서울특별시,강남구,작은도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,9:00,21:30,0:00,0:00,서울특별시 강남구 밤고개로 286 (세곡문화센터 2층),02-445-0297
대치1작은도서관,서울특별시,강남구,작은도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 남부순환로391길 19 (대치1문화센터 지하1층),02-3452-1170
역삼2동작은도서관,서울특별시,강남구,작은도서관,일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 언주로 314(강남프라자 2층)역삼동 761-18,02-567-0930
신사동작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,17:00,0:00,0:00,"서울특별시 강남구 압구정로 128(신사동 주민센터5층), 신사동 548-1",02-3423-7303
압구정동작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 압구정로 151(압구정동 주민센터 3층)압구정동 426,02-3423-7603
도곡2동 작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,17:00,0:00,0:00,서울특별시 강남구 남부순환로 378길 34-9(도곡2문화센터 1층)도곡동 518-8,02-3423-7556
개포1동작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:30,17:30,0:00,0:00,서울특별시 강남구 개포로 310-17(개포1동 주민센터 2층)개포동660-7,02-3423-7656
개포4동작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,17:30,0:00,0:00,서울특별시 강남구 개포로 38길 12(개포4동 주민센터 2층)개포동121-4,02-3423-7853
일원본동 작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,10:00,16:00,0:00,0:00,서울특별시 강남구 광평로 126(일원본동 주민센터2층) 일원동 735-3,02-3423-8263
수서동 작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 광평로 301-4(수서동 주민센터 2층)수서동 718-2,02-3723-8553
일원1동 작은도서관,서울특별시,강남구,작은도서관,토 일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 양재대로55길 14 일원1동 주민센터 1층,02-3423-8366
도곡정보문화도서관,서울특별시,강남구,공공도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 도곡로18길 57(도곡동 892-6),02-2176-0780
논현도서관,서울특별시,강남구,공공도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 학동로43길 17 (논현2문화센터 6층),02-3443-7650
정다운도서관,서울특별시,강남구,공공도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 학동로67길 11 (청담평생학습관 3층),02-512-9326
청담도서관,서울특별시,강남구,공공도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 압구정로79길 26 (청담1문화센터 7층),02-540-7042
대치도서관,서울특별시,강남구,공공도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,6:00,21:00,0:00,0:00,서울특별시 강남구 삼성로 212 (은마상가 C블럭 2층),02-565-6666
즐거운도서관,서울특별시,강남구,공공도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 도곡로77길 23 (대치4문화센터 4층),02-565-7533
행복한도서관,서울특별시,강남구,공공도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 영동대로65길 24 (대치2문화센터 3층),02-567-3833
역삼푸른솔도서관,서울특별시,강남구,공공도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 테헤란로8길 36 (강남문화원 4층),02-2051-1178
역삼도서관,서울특별시,강남구,공공도서관,첫째(셋째)월요일 일요일을 제외한법정공휴일,6:00,22:00,0:00,0:00,서울특별시 강남구 역삼로7길 16 (역삼1문화센터 5층),02-508-1139
논현정보도서관,서울특별시,강남구,작은도서관,일요일  법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 학동로 343 포바빌딩 지하2층,02-6004-3984
열린도서관,서울특별시,강남구,작은도서관,일요일  법정공휴일,9:00,21:00,0:00,0:00,서울특별시 강남구 학동로 343 포바빌딩 지하2층,02-6004-3970
삼성도서관,서울특별시,강남구,작은도서관,둘째(넷째)화요일 일요일을 제외한법정공휴일,9:00,18:00,0:00,0:00,서울특별시 강남구 봉은사로 616 (삼성1동 주민센터 동관4층),02-568-9984
남산타운문화체육센터어린이도서관,서울특별시,중구,공공도서관,매주 월요일 법정 공휴일,9:00,22:00,0:00,0:00,서울특별시 중구 다산로32(신당동),02-2280-8486
중구구립신당도서관,서울특별시,중구,공공도서관,연중무휴,9:00,18:00,9:00,18:00,서울특별시 중구 다산로38길 66-35(신당동),02-2280-8490
중구구립도서관,서울특별시,중구,공공도서관,연중무휴,9:00,18:00,9:00,18:00,서울특별시 중구 동호로14길 18(신당동),02-2280-8470
손기정정보도서관,서울특별시,중구,작은도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 중구 손기정로 101(만리동2가),02-2280-8455
송파글마루도서관,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 충민로 120 (장지동),02-449-8855
사당솔밭도서관,서울특별시,동작구,공공도서관,매주 월요일 법정 공휴일,9:00,22:00,0:00,0:00,서울특별시 동작구 솔밭로 86,02-585-8411
상도국주도서관,서울특별시,동작구,공공도서관,매주 월요일 법정 공휴일,9:00,22:00,0:00,0:00,서울특별시 동작구 매봉로 37,02-813-6750
동작어린이도서관,서울특별시,동작구,공공도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 동작구 장승배기로16길 98,02-823-6750
대방어린이도서관,서울특별시,동작구,공공도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 동작구 대방동길 55,02-813-6740
동작샘터도서관,서울특별시,동작구,작은도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 동작구 동작대로29길 63-26,02-533-6750
본도작은도서관,서울특별시,동작구,작은도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 동작구 노량진로32길 10,02-813-7040
약수작은도서관,서울특별시,동작구,작은도서관,매주 월요일 법정 공휴일,9:00,18:00,0:00,0:00,서울특별시 동작구 양녕로22바길 64,02-823-1907
송파어린이도서관,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,18:00,9:00,18:00,서울특별시 송파구 올림픽로 105 (잠실동),02-418-0303
거마도서관,서울특별시,송파구,공공도서관,국가지정공휴일+2째월요일+4째월요일,8:00,23:00,8:00,23:00,서울특별시 송파구 거마로2길 19 (거여동),02-449-2332
소나무언덕1호,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 올림픽로 47길 9 (풍납동),02-475-0266
소나무언덕2호,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 석촌호수로 155 (잠실동),02-424-0083
소나무언덕3호,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 성내천로 319 (마천동),02-443-0130
소나무언덕4호,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 송이로 34 (송파동),02-419-5100
소나무언덕 잠실본동,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,18:00,9:00,18:00,서울특별시 송파구 탄천동로 211 (잠실동),02-412-0750
송파어린이영어,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,18:00,9:00,18:00,서울특별시 송파구 오금로 1 (신천동),02-415-3567
돌마리도서관,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 백제고분로37길 16 (석촌동),02-414-7007
송파위례도서관,서울특별시,송파구,공공도서관,매주월요일+국가지정공휴일,9:00,22:00,9:00,22:00,서울특별시 송파구 위례광장로 210 (장지동),02-402-3003
관악문화관도서관,서울특별시,관악구,공공도서관,매주 화요일/국가지정공휴일,9:00,22:00,0:00,0:00,서울특별시 관악구 신림로3길 35(신림동),02-828-5700
성북정보도서관,서울특별시,성북구,공공도서관,매월 첫째  셋째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 화랑로 18자길 13,02-962-1081
아리랑정보도서관,서울특별시,성북구,공공도서관,매월 둘째 넷째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 아리랑로 82,02-3291-4990
해오름도서관,서울특별시,성북구,공공도서관,매월 첫째  셋째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 성북로4길 52,02-6925-7002
종암동새날도서관,서울특별시,성북구,공공도서관,매월 둘째 넷째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 종암로 98-8,02-6925-6920
서경로꿈마루도서관,서울특별시,성북구,작은도서관,매주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 서경로 94-1,02-6925-0300
글빛정보도서관,서울특별시,관악구,공공도서관,매주 수요일/국가지정공휴일,9:00,22:00,0:00,0:00,서울특별시 관악구 관악로 30길 23,02-878-7460
성현동작은도서관,서울특별시,관악구,공공도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 관악로 37길 56,02-877-7182
은천동작은도서관,서울특별시,관악구,공공도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 봉천로 33나길 30,02-877-1162
조원작은도서관,서울특별시,관악구,공공도서관,매주 수요일/법정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 조원로 12길 25,02-851~5571
봉현작은도서관,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 관악로 255-7,070-7163-5167
청룡작은도서관,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 청룡9길 12-39,02-876-4041
삼성작은도서관,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 호암로 520,070-7163-5166
숲속작은도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,17:00,0:00,0:00,서울특별시 관악구 신림동 산50-2,070-4118-6154
책이랑놀이랑,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 행운1길 12,02-878-0955
책쉼터,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 낙성대로3길 37,00-000-0000
신림청소년독서실,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 난곡로64가길 19,070-7525-0619
관악산 詩도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 신림로 23,02-871-2261
낙성대공원도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 낙성대로 77,02-872-5575
하난곡작은도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 난우10가길 20-7,02-868-8994
용꿈꾸는 작은도서관,서울특별시,관악구,작은도서관,매주 일요일/국가지정공휴일,9:00,22:00,0:00,0:00,서울특별시 관악구 관악로 145,02-889-8823
도림천에서 용나는 작은도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,20:00,0:00,0:00,서울특별시 관악구 신림로 297,02-877-2722
꿈나무 영유아도서관,서울특별시,관악구,작은도서관,매주 화요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 신림로3길 35,02-828-5721
보라매동 다사랑작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 봉천로 279-8,02-876-2879
은천동 한울작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 국회단지2길 29-10,02-876-4091
인헌동 보물섬 작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,9:00,18:00,0:00,0:00,서울특별시 관악구 남부순환로246가길 20,02-889-4941
난곡동 책사랑 작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 난곡로 30길 40,02-861-7130
난향동 뜰안에작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 난곡로 67,02-867-1735
남현동 우리작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 남현1가길 29,02-525-1334
신림동 굴렁쇠작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 신림동길 14,02-877-2727
서림동 글사랑작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 신림로29길 6,02-884-3951
신원동 울타리작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 신원로3길 13-6,02-839-1547
신사동 해오름작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 조원로 151-1,02-853-7336
서원동 어울작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 신림로 282,02-872-5322
대학동 녹두작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 신림로 111,02-872-4765
성현동 파랑새작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 구암길 38,02-875-9054
중앙동 새싹작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 양녕로6다길 7,02-875-9513
청림동 푸른숲작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 관악로40길 39,02-876-4090
행운동 마루작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 행운1길 43,02-876-3434
청룡동 숯고을작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 쑥고개로 44,02-876-4083
낙성동 우듬지작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 낙성대로4가길 5,02-876-4072
미성동 책의향기작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 난곡로 249,02-830-5312
삼성동 샛별작은도서관,서울특별시,관악구,작은도서관,매주 토/일요일/국가지정공휴일,10:00,18:00,0:00,0:00,서울특별시 관악구 호암로 589,02-876-2063
서울대입구역 U-도서관,서울특별시,관악구,작은도서관,국가지정공휴일(설날/추석),6:00,2:00,0:00,0:00,서울특별시 관악구 남부순환로 지하 1822(서울대입구역),00-000-0000
신대방역 U-도서관,서울특별시,관악구,작은도서관,국가지정공휴일(설날/추석),6:00,2:00,0:00,0:00,서울특별시 동작구 대림로 2(신대방역),00-000-0000
봉천역 U-도서관,서울특별시,관악구,작은도서관,국가지정공휴일(설날/추석),6:00,2:00,0:00,0:00,서울특별시 관악구 남부순환로 지하1721(봉천역),00-000-0000
낙성대역 U-도서관,서울특별시,관악구,작은도서관,국가지정공휴일(설날/추석),6:00,2:00,0:00,0:00,서울특별시 관악구 남부순환로 지하1928(낙성대역),00-000-0000
신림역 U-도서관,서울특별시,관악구,작은도서관,국가지정공휴일(설날/추석),6:00,2:00,0:00,0:00,서울특별시 관악구 남부순환로 지하1614(신림역),00-000-0000
석관동미리내도서관,서울특별시,성북구,공공도서관,매월 둘째 넷째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 한천로66길 203,02-960-5067
달빛마루도서관,서울특별시,성북구,공공도서관,매월 첫째  셋째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 종암로 167,02-911-0993
정릉도서관,서울특별시,성북구,공공도서관,매월 첫째  셋째 주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 정릉로 242,02-2038-9928
청수도서관,서울특별시,성북구,공공도서관,매주 월요일 및 법정공휴일,9:00,18:00,9:00,18:00,서울특별시 성북구 보국문로 16가길 20,02-2038-4423
중랑구립정보도서관,서울특별시,중랑구,공공도서관,"매월 둘째 넷째 월요일,법정공휴일 및 근로자의날(5월1일)",7:00,23:00,7:00,23:00,서울특별시 중랑구 신내로15길 197,02-490-9114
중랑구립면목정보도서관,서울특별시,중랑구,공공도서관,"첫째 셋째 월요일,법정공휴일 및 근로자의날(5월1일)",8:00,23:00,8:00,23:00,서울특별시 중랑구 면목로 397(면목본동115-18),02-432-4120
중랑숲어린이도서관,서울특별시,중랑구,공공도서관,매주월요일 법정공휴일(일요일제외) 임시휴관일,9:00,18:00,9:00,18:00,서울특별시 중랑구 망우로73길 46-1,02-6236-1150
중화어린이도서관,서울특별시,중랑구,공공도서관,매주일요일 법정공휴일 임시휴관일,9:00,18:00,9:00,18:00,서울특별시 중랑구 중랑역로 3길 28,02-2094-1846
용답동어린이작은도서관,서울특별시,성동구,공공도서관,주말 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 성동구 용답중앙 23길 20 (용답동),02-2286-7523
송정동늘푸른작은도서관,서울특별시,성동구,공공도서관,주말 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 성동구 송정 14길 19 (송정동),02-2286-7509
홍파랑 북카페,서울특별시,종로구,작은도서관,일요일 법정공휴일,10:00,17:00,0:00,0:00,서울특별시 종로구 송월길 154(교남동 주민센터 2층),02-2148-5197
혜화마을 북카페,서울특별시,종로구,작은도서관,일요일 법정공휴일,10:00,17:00,0:00,0:00,서울특별시 종로구 혜화로 12(혜화동 자치회관 4층),02-2148-5339
통인어린이작은도서관,서울특별시,종로구,작은도서관,2 & 4주 월요일 법정공휴일,10:00,19:00,0:00,0:00,서울특별시 종로구 자하문로 13길 20,02-739-8444
창이 작은도서관,서울특별시,종로구,작은도서관,2 & 4주토요일 일요일 법정공휴일,10:00,19:00,0:00,0:00,서울특별시 종로구 창신길 62(창신2동 주민센터 2층),02-2148-5439
창신1동하람작은도서관,서울특별시,종로구,작은도서관,토요일 일요일 법정공휴일,10:00,17:00,0:00,0:00,서울특별시 종로구 지봉로 8-6(창신1동 주민센터 2층),02-2148-5408
지혜만들기 작은도서관,서울특별시,종로구,작은도서관,토요일 일요일 법정공휴일,10:00,17:00,0:00,0:00,서울특별시 종로구 종로35가길 19(종로56가동 주민센터 3층),02-2148-5285
이화마을 작은도서관,서울특별시,종로구,작은도서관,일요일  법정공휴일,10:00,17:00,0:00,0:00,서울특별시 종로구 이화장길 33(이화동 주민센터 2층),02-2148-5309
숭인마루 작은도서관,서울특별시,종로구,작은도서관,토요일 일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 종로구 지봉로 86(숭인1동 주민센터 2층),02-2148-5496
무악다솜방 작은도서관,서울특별시,종로구,작은도서관,토요일 일요일 법정공휴일,9:00,18:00,0:00,0:00,서울특별시 종로구 통일로 14길 36(무악동 주민센터 2층),02-2148-5164
꿈꾸는 평창동 작은도서관,서울특별시,종로구,작은도서관,토요일 일요일 법정공휴일,10:00,18:00,0:00,0:00,서울특별시 종로구 평창문화로65(평창동 주민센터 2층),02-2148-5140
