인증분야명,업체명,주소,전화
위생등급제,훌리오,서울특별시 종로구 청계천로 73 3층 (관철동),02-7302-5324
위생등급제,토방,서울특별시 종로구 인사동길 50-1 (관훈동),02-735-8156
위생등급제,인사동 본죽,서울특별시 종로구 인사동길 55 (지상2층),02-722-6288
위생등급제,강남면옥,서울특별시 종로구 인사동길  18,02-722-8586
먹을만큼적당히,육미,서울특별시 중구 남대문로 109 (다동 지하1층),02-771-8872
저염실천음식점,함흥냉면,서울특별시 중구 마른내로 108 (오장동),02-2267-9500
먹을만큼적당히,평래옥,서울특별시 중구 마른내로 21-1 (저동2가1층2층),02-2267-5892
위생등급제,무라사키,서울특별시 중구 소공로 119 (태평로2가3층),02-771-2200
위생등급제,나주곰탕,서울특별시 성동구 천호대로 420 1층 (용답동 233-3),02-3394-8266
먹을만큼적당히,차이나플레인,서울특별시 성동구 아차산로 113 (성수동2가),02-2205-2477
위생등급제,옥향루,서울특별시 종로구 평창문화로 88 지하1 지상23층 (평창동),02-3217-0941
위생등급제,미당,서울특별시 종로구 경희궁1길 6,02-732-8200
먹을만큼적당히,이화고려정,서울특별시 중구 서소문로9길 10 (순화동(지하1층지상1층~3층)),02-777-3857
먹을만큼적당히,백상,서울특별시 중구 서애로1길 49 (묵정동),02-2263-7700
위생등급제,백상,서울특별시 중구 서애로1길 49 (묵정동),02-2263-7700
먹을만큼적당히,우림정,서울특별시 중구 세종대로11길 33-3 (서소문동),02-752-5939
위생등급제,대복,서울특별시 중구 세종대로14길  22,02-755-0189
먹을만큼적당히,쏘렌토,서울특별시 중구 세종대로16길 1 (태평로2가(2층)),02-776-8181
위생등급제,쏘렌토,서울특별시 중구 세종대로16길 1 (태평로2가(2층)),02-776-8181
위생등급제,송원 스끼야끼 샤브샤브,서울특별시 중구 세종대로18길 24 (북창동),02-778-7708
위생등급제,대복정,서울특별시 종로구 자하문로2길 22 (적선동 1층 2층),02-738-6428
위생등급제,라세느,서울특별시 중구 을지로 30 1층(소공동 호텔롯데),02-771-1000
위생등급제,플레이스케이프,서울특별시 중구 을지로 264 (을지로6가 롯데피트인 지하3층),02-6262-4991
저염실천음식점,다원수산,서울특별시 성동구 마장로 200 (홍익동),02-2295-1645
저염실천음식점,태평양수산,서울특별시 성동구 마장로 185 (홍익동),02-2296-4988
위생등급제,연평도꽃게낙지,서울특별시 성동구 마장로 323 (마장동(지상12층)),02-2294-6565
위생등급제,베아르시,서울특별시 성동구 왕십리로 342 (도선동교보생명(지하1층)),02-2299-3690
먹을만큼적당히,전원 오리구이 생삼겹살,서울특별시 성동구 왕십리로 323 (행당동),02-2295-5292
먹을만큼적당히,우래식당,서울특별시 성동구 고산자로 281 (홍익동),02-2298-6290
먹을만큼적당히,쌈사랑,서울특별시 중구 퇴계로 207 (충무로4가(1층)),02-2261-3233
위생등급제,이조설렁탕.함흥냉면,서울특별시 용산구 백범로99길 54 (한강로1가(지상1층)),02-709-7069
위생등급제,새마을식당,서울특별시 중구 세종대로20길 19 (태평로1가1층),02-737-0335
위생등급제,한국관,서울특별시 중구 세종대로9길 42 (서소문동(지하1층)),02-756-5709
먹을만큼적당히,유정혜등촌샤브칼국수,서울특별시 중구 청구로6길 52 1층 (신당동),02-2275-1738
위생등급제,새마을식당,서울특별시 종로구 대학로11길 3 2층 (명륜4가),02-3672-7004
먹을만큼적당히,소담골두부마을,서울특별시 광진구 자양로22길 15 (구의동1층),02-456-1473
위생등급제,코리아 푸드스토리,서울특별시 동대문구 회기로13길 21 (회기동(과학원길 19)),02-967-3954
먹을만큼적당히,장수토종순대국,서울특별시 성북구 돌곶이로 61 (석관동),02-960-2033
위생등급제,소한마리정육식당(꿈꾸는이상(주)돈암점),서울특별시 성북구 동소문로 212-66 (돈암동),02-926-7733
위생등급제,전주관,서울특별시 성북구 동소문로 315 (길음동현대백화점),02-2117-1938
트랜스지방 안심제과점,파리바게뜨 정릉점,서울특별시 성북구 보국문로 44 (정릉동),02-914-6913
채식메뉴음식점,보리촌,서울특별시 성북구 삼선교로 35-5 (삼선동2가(지하1층)),02-742-6582
위생등급제,궁,서울특별시 강북구 4.19로 70(수유동),02-994-3338
위생등급제,꽃피는 우산골,서울특별시 성북구 인촌로28길 16 (안암동5가안암랜드 1층),02-923-7779
먹을만큼적당히,김가네동태찜.탕,서울특별시 중랑구 봉화산로56길 46 (신내동),02-491-5293
위생등급제,시골쌈밥,서울특별시 강북구 덕릉로19길 8 (수유동(원앙길 4)),02-908-1264
위생등급제,갯마을낙지아구,서울특별시 중랑구 용마산로115길 34 (망우동),02-432-6848
위생등급제,선동보리밥,서울특별시 성북구 성북로 142 (성북동),02-743-2096
트랜스지방 안심제과점,뚜레쥬르(길음뉴타운점),서울특별시 성북구 길음로13길 22 (길음동 두산@상가 지하2층20~21호),02-942-0435
먹을만큼적당히,남원본가추어탕,서울특별시 중랑구 망우로66길 10 (망우동),02-973-8850
위생등급제,우마이 돈마니,서울특별시 광진구 천호대로107길 8 (중곡동),02-467-5211
위생등급제,(주)야리성,서울특별시 동대문구 장한로2길 20 (장안동 이레빌딩 지하1층~4층),02-2215-9999
위생등급제,엄가네식당,서울특별시 중랑구 동일로 911 (묵동),02-977-1309
위생등급제,압구정찌개마을,서울특별시 중랑구 면목로 254-1 (면목동),02-434-8836
먹을만큼적당히,대가,서울특별시 중랑구 면목로 215 (면목동),02-495-1362
먹을만큼적당히,찜집,서울특별시 중랑구 면목로 287 (면목동),02-494-0044
먹을만큼적당히,이조뼈다귀감자탕,서울특별시 중랑구 면목로 235 (면목동),02-437-9686
위생등급제,옛골토성(상봉점),서울특별시 중랑구 면목로 494 (상봉동),02-433-4276
먹을만큼적당히,옛골토성(상봉점),서울특별시 중랑구 면목로 494 (상봉동),02-433-4276
위생등급제,고향풍천장어,서울특별시 중랑구 용마산로 512-1 (망우동),02-432-5548
위생등급제,지호한방삼계탕,서울특별시 중랑구 용마산로 560 (망우동),02-433-0054
위생등급제,오리무중유황오리,서울특별시 중랑구 겸재로 187 (면목동),02-492-9252
먹을만큼적당히,할매복집,서울특별시 중랑구 공릉로 82 (묵동),02-979-7606
먹을만큼적당히,강나루,서울특별시 광진구 아차산로57길 5 (구의동),02-452-5251
위생등급제,요리왕,서울특별시 성북구 보문로30길 14 (보문동1가 1층),02-926-1232
저염실천음식점,한우리,서울특별시 동대문구 천호대로 74 (용두동(하정로 76)),02-929-6231
위생등급제,명동칼국수샤브샤브동대문홈플러스점,서울특별시 동대문구 천호대로 133,02-965-2251
위생등급제,한우리,서울특별시 동대문구 천호대로 74,02-929-6231
안심식육판매소,명품횡성청정한우,서울특별시 동대문구 답십리로65길 69,02-2248-7124
위생등급제,미락,서울특별시 동대문구 왕산로28길 23 1층 (용두동),02-966-2809
위생등급제,풀잎보리쌈밥생고기,서울특별시 중랑구 중랑역로 5 (중화동),02-2207-3323
먹을만큼적당히,검바위족발,서울특별시 중랑구 중랑역로 94 (중화동외 1필지),02-432-1253
위생등급제,돈돼지털보네용두동쭈꾸미,서울특별시 중랑구 중랑천로 58 (면목동),02-435-6910
먹을만큼적당히,소문난순대국,서울특별시 성북구 보문로40길 17 (동소문동5가),02-953-7354
위생등급제,장안정,서울특별시 동대문구 답십리로 314 (장안동(답십리길 314)),02-2246-6574
위생등급제,시인과농부,서울특별시 동대문구 사가정로 238 1층 (장안동),02-2215-1114
위생등급제,전농 크리스탈뷔페,서울특별시 동대문구 서울시립대로 36 6층 (전농동),02-2217-4000
위생등급제,회밀리,서울특별시 중랑구 면목로44길 5 (면목동),02-433-9845
트랜스지방 안심제과점,파리바게뜨청량리점,서울특별시 동대문구 왕산로 225 (청량리동A동 109호 22-1호),02-967-1120
위생등급제,왔다~생고기마을,서울특별시 동대문구 외대역동로 80-1 1층 (이문동),02-966-0558
위생등급제,해적선,서울특별시 동대문구 장한로 92 1층 (장안동),02-2247-3008
트랜스지방 안심제과점,파리바게뜨,서울특별시 동대문구 전농로 151 (전농동(전농로151)),02-2212-4845
위생등급제,홍능갈비집,서울특별시 동대문구 제기로 85 (청량리동(제기로 85)),02-966-0420
위생등급제,육전식당플러스,서울특별시 동대문구 한빛로 6 1층 (신설동),02-926-6373
저염실천음식점,동래,서울특별시 광진구 자양로18길 79,02-447-1588
위생등급제,동래,서울특별시 광진구 자양로18길 79 (구의동),02-447-1588
먹을만큼적당히,대원칼국수,서울특별시 광진구 자양로18길 56 (구의동16),02-454-3112
안심마트,(주)지에스리테일,서울특별시 강북구 덕릉로 176 (번동),02-988-5103
위생등급제,동네 감자탕,서울특별시 강북구 한천로 1064 (수유동(한천로1064)(지상1층)),02-900-5055
위생등급제,태평양참치,서울특별시 강북구 한천로 1042 (수유동(4.19길 10)(지상2층)),02-998-5544
위생등급제,수작,서울특별시 강북구 한천로 1173 (수유동),02-907-2301
위생등급제,(주)이랜드파크 외식 피자몰 미아삼거리역점,서울특별시 강북구 도봉로 52 5층 (미아동),02-6416-4296
위생등급제,담향채(미아점),서울특별시 강북구 도봉로 77 (미아동(도봉로 77)(지상2층)),02-987-8803
위생등급제,신주쿠,서울특별시 강북구 도봉로 62 (미아동롯데백화점 8층),02-944-2688
위생등급제,오백집,서울특별시 중랑구 면목로55길 17,02-492-0555
위생등급제,백운면옥,서울특별시 강북구 삼양로 547 (우이동(지상1층)),02-991-2992
저염실천음식점,솔샘 명태감자탕,서울특별시 강북구 솔샘로 327 (미아동(솔샘길 10)(지상1층)),02-989-0066
위생등급제,양촌리돼지갈비,서울특별시 강북구 솔샘로 334-8 (미아동),02-945-2416
위생등급제,조마루뼈다귀,서울특별시 강북구 솔샘로 332 (미아동),02-984-5300
위생등급제,어바웃 샤브,서울특별시 성북구 삼양로13길 45 (길음동대림상가 B101B102B103B104),02-914-3357
저염실천음식점,창원,서울특별시 도봉구 도봉로180길 6 (도봉동 태봉운동시설2동),02-3492-7892
위생등급제,신의주찹쌀순대,서울특별시 노원구 동일로203가길 29 (중계동브라운스톤중계  1층 144호 145호),02-976-8749
안심마트,이천일아울렛 중계점,서울특별시 노원구 동일로204가길 46 (중계동),02-948-2001
저염실천음식점,우정낙지,서울특별시 노원구 동일로217가길 23 (상계동2층),02-3392-3344
먹을만큼적당히,명품한우 천둥소리,서울특별시 도봉구 시루봉로 135 (방학동지상2층),02-3492-6677
안심식육판매소,북서울농업협종조합정육점,서울특별시 도봉구 해등로 166 (쌍문동),02-979-3838
위생등급제,Tokyo(도쿄)감자탕,서울특별시 도봉구 마들로 650 (방학동도봉월드 210호),02-6229-9797
위생등급제,공룡고기창동점,서울특별시 도봉구 마들로 542 1~2층 (창동),02-998-7792
위생등급제,곤지암할매소머리국밥,서울특별시 마포구 마포대로 234 (아현동1층),02-362-7198
위생등급제,미래,서울특별시 마포구 마포대로 144 (공덕동 태영빌딩 지하1층),02-718-5292
위생등급제,강진수산물직판장,서울특별시 마포구 마포대로  63-8 삼창빌딩 지하 1층 78동 87호,02-704-0744
위생등급제,삼성웰스토리(주)에쓰오일본사,서울특별시 마포구 백범로 192 (공덕동 지하1층),02-701-4188
위생등급제,지중해참치,서울특별시 마포구 새창로 13 (도화동 2층),02-706-3837
트랜스지방 안심제과점,뚜레쥬르(상계역점),서울특별시 노원구 한글비석로15길 3 (중계동),02-952-1410
위생등급제,진부령황태마을,서울특별시 마포구 월드컵북로54길 12 문화콘텐츠센터 지1층 B105호,02-3153-2336
먹을만큼적당히,원당감자탕,서울특별시 마포구 월드컵북로56길 9 1층103동 (상암동),02-6323-6323
먹을만큼적당히,산도토리임자탕,서울특별시 도봉구 덕릉로60길 13 (창동),02-903-9928
트랜스지방 안심제과점,파리바게뜨(화랑대역점),서울특별시 노원구 노원로1길 74 (공릉동 240-236 1층),02-948-0960
위생등급제,부잣집설렁탕,서울특별시 강북구 도봉로8길 9 (미아동(하천길 5)),02-982-9944
저염실천음식점,한동길감자탕,서울특별시 노원구 공릉로70길 8-3 (하계동),02-973-5913
위생등급제,토성,서울특별시 마포구 매봉산로2길 20 (상암동 1층 일부),02-304-2334
위생등급제,부일관,서울특별시 노원구 노원로26길 119 (상계동),02-952-6634
저염실천음식점,명품장어구이,서울특별시 노원구 노해로75길 14-22 (상계동),02-951-5521
위생등급제,박대박,서울특별시 노원구 노해로75길 14-12 (상계동),02-951-3775
위생등급제,동경구락부,서울특별시 노원구 노해로75길 14-27 (상계동 2층),02-934-5777
저염실천음식점,풍미연,서울특별시 노원구 노해로85길 7 (상계동),02-936-2315
위생등급제,블루스카이,서울특별시 은평구 서오릉로 139 8층 (역촌동),02-359-8864
위생등급제,(원)할머니보쌈 응암점,서울특별시 은평구 응암로 253 1층 (응암동),02-355-3101
위생등급제,은평감자국,서울특별시 은평구 응암로 287 (응암동),02-389-4458
위생등급제,금바위감자탕,서울특별시 은평구 증산로 353 1층 (증산동),02-372-3161
위생등급제,아미산,서울특별시 서대문구 연희로32길 151,02-322-5617
위생등급제,팔색삼겹살(홍대1호점),서울특별시 마포구 와우산로19길 5 (서교동 1층 지하1층),02-336-6789
위생등급제,팀 1994,서울특별시 서대문구 명물길 37 (창천동외 8필지(지상2층)),02-3147-0907
저염실천음식점,명가 쌈밥,서울특별시 은평구 불광로 40-2 (불광동 지상1층),02-358-2343
위생등급제,좋구먼,서울특별시 은평구 은평로 167 (지상 2345층),02-384-2072
위생등급제,산해진미,서울특별시 강북구 솔샘로68길 19 (미아동(솔샘로68길19)),02-983-5217
위생등급제,청운복집,서울특별시 마포구 마포대로14가길 14 (공덕동),02-715-9013
위생등급제,국보,서울특별시 마포구 마포대로14길 20 지상1층 (공덕동),02-0711-0088
저염실천음식점,전북콩나물국밥,서울특별시 강북구 한천로139가길 12 (수유동지상1층 (구청1길 8)),02-900-6391
저염실천음식점,호남 해물탕,서울특별시 강북구 한천로139길 42 (수유동),02-996-7582
위생등급제,군산해물탕,서울특별시 강북구 한천로139길 41 (수유동),02-990-4176
저염실천음식점,상하이,서울특별시 도봉구 우이천로4다길 74,02-994-1144
위생등급제,상하이,서울특별시 도봉구 우이천로4다길 74 (창동1층 지층),02-994-1144
먹을만큼적당히,상하이,서울특별시 도봉구 우이천로4다길 74 (창동1층 지층),02-994-1144
트랜스지방 안심제과점,뚜레쥬르 홍제3동점,서울특별시 서대문구 세검정로 54 (홍제동지상1층),02-3216-3366
위생등급제,마포참숯불갈비,서울특별시 서대문구 응암로 145 (북가좌동40),02-304-7733
위생등급제,무교동낙지(신촌점),서울특별시 서대문구 신촌로 87-4 (창천동외1필지),02-324-1655
위생등급제,대게랑찜이랑,서울특별시 서대문구 성산로 325 1층 (연희동),02-306-2161
위생등급제,장위동유성집,서울특별시 서대문구 경기대로 63 (충정로2가6),02-392-4102
위생등급제,삼보,서울특별시 강북구 오패산로52길 52 (미아동(율곡마을길 32)),02-985-0982
위생등급제,욕지도,서울특별시 마포구 마포대로16길 13 (아현동 1층),02-313-6007
위생등급제,마포나룻터,서울특별시 마포구 마포대로1길 16 (용강동 23층),02-715-1255
채식메뉴음식점,국수나무,서울특별시 성북구 화랑로11길 31 (하월곡동),02-913-5271
저염실천음식점,배밭고을,서울특별시 노원구 동일로 1611 (상계동),02-938-9500
위생등급제,이규민달인보쌈집,서울특별시 노원구 동일로 1598 지하1층 (상계동),02-951-5553
트랜스지방 안심제과점,파리바게뜨 수락산역점,서울특별시 노원구 동일로 1677 (상계동),02-936-8240
위생등급제,늘푸른풀,서울특별시 노원구 동일로 1414 롯데백화점 노원점 9층,02-950-2960
위생등급제,우리수산,서울특별시 노원구 덕릉로 818 101호 (상계동상계6구역37블럭7롯트),02-937-3132
위생등급제,안시성,서울특별시 노원구 화랑로 475 (공릉동지상12층),02-949-3331
위생등급제,논골집,서울특별시 노원구 노해로 517-3 1 2층 (상계동),02-930-0080
위생등급제,설담재,서울특별시 노원구 노해로 521 (상계동정일빌딩 1층),02-934-0069
위생등급제,VIPS 신촌현대 U-Plex,서울특별시 서대문구 연세로 13 11층 (창천동 신촌현대백화점 U-Plex),02-3145-1997
위생등급제,선은가,서울특별시 서대문구 연희맛로 14 (연희동),02-325-4748
위생등급제,육정성,서울특별시 서대문구 연희맛로 15  (연희동)1~2층,02-323-1109
위생등급제,샤브앤샐러드바연희직영점,서울특별시 서대문구 연희맛로 28 (연희동),02-3143-0000
위생등급제,청송면옥,서울특별시 서대문구 연희맛로 6 (연희동),02-334-3545
저염실천음식점,삼부자생고기,서울특별시 서대문구 증가로 25 (연희동),02-325-2029
위생등급제,함흥냉면(돼지갈비삼겹살),서울특별시 서대문구 충정로 13 (충정로3가지층16호16-1호(지하1층)),02-364-9293
위생등급제,명동면옥,서울특별시 서대문구 충정로  7 구세군빌딩 지하2층(충정로3가),02-939-9632
위생등급제,인삼갈비,서울특별시 서대문구 모래내로 342 (홍은동(지상1층)),02-394-0934
위생등급제,강수사,서울특별시 서대문구 연희로 157 (연희동 12층),02-3141-4848
위생등급제,오계절 남원추어탕,서울특별시 서대문구 연희로 267 (홍은동),02-391-3441
위생등급제,부대나라 보쌈장군,서울특별시 강북구 오패산로77길 18,02-902-0022
위생등급제,양산박,서울특별시 마포구 마포대로4길  37,02-711-0888
저염실천음식점,김용희 참치,서울특별시 노원구 동일로176길 3 (공릉동),02-979-4042
트랜스지방 안심제과점,뚜레쥬르(공릉),서울특별시 노원구 동일로192길 77 (공릉동 동신@상가 101호 106호),02-978-1317
저염실천음식점,조인마루 뼈다귀,서울특별시 도봉구 덕릉로 246 (창동),02-904-3700
트랜스지방 안심제과점,파리바게트,서울특별시 도봉구 덕릉로 252-1 지상12층 (창동),02-905-8033
트랜스지방 안심제과점,파리바게뜨(방학중앙점),서울특별시 도봉구 도봉로 689 (방학동),02-3494-0810
저염실천음식점,청어진동태찜,서울특별시 도봉구 도봉로 150길28,02-955-1554
위생등급제,뉴욕바닷가재,서울특별시 도봉구 도봉로 704 1층 (방학동),02-954-1006
위생등급제,동해수산,서울특별시 도봉구 도봉로 663-8 (방학동),02-3491-8500
건강음식점,장수옥설렁탕(캠페인 참여),서울특별시 도봉구 도봉로 805,02-3494-6980
안심마트,롯데쇼핑(주)롯데슈퍼공릉점,서울특별시 노원구 공릉로 144 (공릉동 238-53),02-978-3552
저염실천음식점,미송샤브샤브,서울특별시 노원구 노원로 412 (상계동),02-939-8833
위생등급제,미송샤브샤브,서울특별시 노원구 노원로 412 1층 (상계동),02-939-8833
위생등급제,대게나라,서울특별시 노원구 상계로 122,02-932-9966
안심마트,건영마트,서울특별시 노원구 섬밭로 258 (중계동),02-977-9339
트랜스지방 안심제과점,파리바게뜨(상계보람점),서울특별시 노원구 한글비석로 463 (상계동 456-16(1층104.105호)202호),02-936-0936
위생등급제,BS수산,서울특별시 금천구 탑골로 14 지상1층 (시흥동),02-809-5988
위생등급제,황고집바지락칼국수,서울특별시 강서구 강서로31길 10 1층 (화곡동 1동),02-2691-3455
안심마트,롯데쇼핑(주) 롯데슈퍼 발산점,서울특별시 강서구 강서로45길 174 (내발산동(지하1층)),02-2667-6071
트랜스지방 안심제과점,파리바게트(신정갈산점),서울특별시 양천구 목동남로 48 (신정동),02-6347-6926
먹을만큼적당히,넓은들두부골,서울특별시 양천구 중앙로 296 (신정동),02-2693-8584
먹을만큼적당히,우리순대국,서울특별시 양천구 화곡로 104 (신월동),02-2608-5002
위생등급제,삿뽀로목동점(주)덕용푸드시스템,서울특별시 양천구 목동동로 150 (신정동지상1층),02-2644-3366
